timestamp,rawAccX,rawAccY,rawAccZ,rawGyroX,rawGyroY,rawGyroZ,rawKemiringanX,rawKemiringanY,offsetKemiringanX,offsetKemiringanY,kemiringanX,kemiringanY,gyroOffsetX,gyroOffsetY,gyroOffsetZ,kecepatanRotasiX,kecepatanRotasiY,kecepatanRotasiZ,label
3350673,-9020,-564,13668,880,-248,215,-2.36,33.40,0.56,33.48,-2.92,-0.08,603.61,-188.29,41.97,2.11,-0.46,1.32,"berdiri_bungkuk"
3350877,-9304,-76,13748,1246,-126,-690,-0.32,34.09,0.56,33.48,-0.88,0.61,603.61,-188.29,41.97,4.90,0.48,-5.59,"berdiri_bungkuk"
3351080,-9292,-16,13884,271,-694,-274,-0.07,33.79,0.56,33.48,-0.63,0.31,603.61,-188.29,41.97,-2.54,-3.86,-2.41,"berdiri_bungkuk"
3351281,-8860,-56,14012,678,-207,401,-0.23,32.31,0.56,33.48,-0.79,-1.17,603.61,-188.29,41.97,0.57,-0.14,2.74,"berdiri_bungkuk"
3351482,-9092,-200,13884,481,-289,115,-0.83,33.22,0.56,33.48,-1.39,-0.26,603.61,-188.29,41.97,-0.94,-0.77,0.56,"berdiri_bungkuk"
3351682,-9016,-184,13896,530,-171,157,-0.76,32.97,0.56,33.48,-1.32,-0.50,603.61,-188.29,41.97,-0.56,0.13,0.88,"berdiri_bungkuk"
3351886,-9040,-300,13864,531,-103,106,-1.24,33.10,0.56,33.48,-1.80,-0.38,603.61,-188.29,41.97,-0.55,0.65,0.49,"berdiri_bungkuk"
3352090,-9132,-68,13940,503,-288,101,-0.28,33.23,0.56,33.48,-0.84,-0.25,603.61,-188.29,41.97,-0.77,-0.76,0.45,"berdiri_bungkuk"
3352294,-9044,-92,13920,513,-227,67,-0.38,33.01,0.56,33.48,-0.94,-0.47,603.61,-188.29,41.97,-0.69,-0.30,0.19,"berdiri_bungkuk"
3352498,-9180,-72,13980,515,-151,145,-0.30,33.29,0.56,33.48,-0.86,-0.19,603.61,-188.29,41.97,-0.68,0.28,0.79,"berdiri_bungkuk"
3352702,-9064,60,13872,586,-139,19,0.25,33.16,0.56,33.48,-0.31,-0.32,603.61,-188.29,41.97,-0.13,0.38,-0.18,"berdiri_bungkuk"
3352905,-9304,-168,13760,582,-48,-5,-0.70,34.06,0.56,33.48,-1.26,0.58,603.61,-188.29,41.97,-0.16,1.07,-0.36,"berdiri_bungkuk"
3353106,-9216,-8,13872,666,-287,17,-0.03,33.60,0.56,33.48,-0.59,0.12,603.61,-188.29,41.97,0.48,-0.75,-0.19,"berdiri_bungkuk"
3353307,-9088,-80,13864,651,-258,-10,-0.33,33.24,0.56,33.48,-0.89,-0.23,603.61,-188.29,41.97,0.36,-0.53,-0.40,"berdiri_bungkuk"
3353508,-9128,132,13824,630,-241,75,0.55,33.44,0.56,33.48,-0.01,-0.04,603.61,-188.29,41.97,0.20,-0.40,0.25,"berdiri_bungkuk"
3353712,-9088,-88,13956,520,-140,44,-0.36,33.07,0.56,33.48,-0.92,-0.41,603.61,-188.29,41.97,-0.64,0.37,0.02,"berdiri_bungkuk"
3353916,-9036,84,13896,562,-266,-23,0.35,33.03,0.56,33.48,-0.22,-0.44,603.61,-188.29,41.97,-0.32,-0.59,-0.50,"berdiri_bungkuk"
3354120,-9068,-24,14056,652,-213,-94,-0.10,32.83,0.56,33.48,-0.66,-0.65,603.61,-188.29,41.97,0.37,-0.19,-1.04,"berdiri_bungkuk"
3354324,-9036,-216,13760,657,-151,-86,-0.90,33.29,0.56,33.48,-1.46,-0.19,603.61,-188.29,41.97,0.41,0.28,-0.98,"berdiri_bungkuk"
3354528,-9140,-96,13760,558,-238,-49,-0.40,33.59,0.56,33.48,-0.96,0.11,603.61,-188.29,41.97,-0.35,-0.38,-0.69,"berdiri_bungkuk"
3354731,-9060,-76,14092,446,-291,43,-0.31,32.74,0.56,33.48,-0.87,-0.74,603.61,-188.29,41.97,-1.20,-0.78,0.01,"berdiri_bungkuk"
3354932,-9128,-164,13888,476,-111,80,-0.68,33.31,0.56,33.48,-1.24,-0.17,603.61,-188.29,41.97,-0.97,0.59,0.29,"berdiri_bungkuk"
3355132,-9064,-104,13924,489,-153,57,-0.43,33.06,0.56,33.48,-0.99,-0.42,603.61,-188.29,41.97,-0.87,0.27,0.11,"berdiri_bungkuk"
3355339,-9240,-228,13852,510,-21,126,-0.94,33.70,0.56,33.48,-1.50,0.22,603.61,-188.29,41.97,-0.71,1.28,0.64,"berdiri_bungkuk"
3355540,-9312,-124,13668,545,-102,72,-0.52,34.27,0.56,33.48,-1.08,0.79,603.61,-188.29,41.97,-0.45,0.66,0.23,"berdiri_bungkuk"
3355744,-9328,-148,13528,615,-223,113,-0.63,34.59,0.56,33.48,-1.19,1.11,603.61,-188.29,41.97,0.09,-0.26,0.54,"berdiri_bungkuk"
3355948,-9276,12,13744,520,-145,79,0.05,34.02,0.56,33.48,-0.51,0.54,603.61,-188.29,41.97,-0.64,0.33,0.28,"berdiri_bungkuk"
3356152,-9308,28,13864,568,-120,44,0.12,33.88,0.56,33.48,-0.45,0.40,603.61,-188.29,41.97,-0.27,0.52,0.02,"berdiri_bungkuk"
3356356,-9220,-96,13768,467,-83,50,-0.40,33.81,0.56,33.48,-0.96,0.33,603.61,-188.29,41.97,-1.04,0.80,0.06,"berdiri_bungkuk"
3356561,-9392,-208,13732,505,-219,86,-0.87,34.37,0.56,33.48,-1.43,0.89,603.61,-188.29,41.97,-0.75,-0.23,0.34,"berdiri_bungkuk"
3356762,-9200,-128,13840,532,-206,-41,-0.53,33.61,0.56,33.48,-1.09,0.13,603.61,-188.29,41.97,-0.55,-0.14,-0.63,"berdiri_bungkuk"
3356963,-9396,-124,13872,571,-194,33,-0.51,34.11,0.56,33.48,-1.07,0.63,603.61,-188.29,41.97,-0.25,-0.04,-0.07,"berdiri_bungkuk"
3357164,-9208,-232,13756,484,-192,120,-0.97,33.79,0.56,33.48,-1.53,0.32,603.61,-188.29,41.97,-0.91,-0.03,0.60,"berdiri_bungkuk"
3357368,-9280,-164,13728,474,-168,93,-0.68,34.06,0.56,33.48,-1.25,0.58,603.61,-188.29,41.97,-0.99,0.15,0.39,"berdiri_bungkuk"
3357572,-9260,-196,13708,413,-253,101,-0.82,34.04,0.56,33.48,-1.38,0.56,603.61,-188.29,41.97,-1.46,-0.49,0.45,"berdiri_bungkuk"
3357777,-9320,-188,13660,483,-246,51,-0.79,34.30,0.56,33.48,-1.35,0.82,603.61,-188.29,41.97,-0.92,-0.44,0.07,"berdiri_bungkuk"
3357982,-9276,-296,13772,570,-161,12,-1.23,33.96,0.56,33.48,-1.79,0.48,603.61,-188.29,41.97,-0.26,0.21,-0.23,"berdiri_bungkuk"
3358187,-9364,-88,13692,575,-146,108,-0.37,34.37,0.56,33.48,-0.93,0.89,603.61,-188.29,41.97,-0.22,0.32,0.50,"berdiri_bungkuk"
3358392,-9308,-212,13636,561,-125,97,-0.89,34.31,0.56,33.48,-1.45,0.84,603.61,-188.29,41.97,-0.33,0.48,0.42,"berdiri_bungkuk"
3358596,-9428,-84,13648,586,-81,24,-0.35,34.64,0.56,33.48,-0.91,1.16,603.61,-188.29,41.97,-0.13,0.82,-0.14,"berdiri_bungkuk"
3358797,-9396,-200,13576,529,-188,88,-0.84,34.68,0.56,33.48,-1.41,1.21,603.61,-188.29,41.97,-0.57,0.00,0.35,"berdiri_bungkuk"
3358998,-9380,-72,13792,545,-241,74,-0.30,34.22,0.56,33.48,-0.86,0.74,603.61,-188.29,41.97,-0.45,-0.40,0.24,"berdiri_bungkuk"
3359200,-9420,-140,13632,544,-212,83,-0.59,34.64,0.56,33.48,-1.15,1.17,603.61,-188.29,41.97,-0.46,-0.18,0.31,"berdiri_bungkuk"
3359405,-9480,-240,13872,464,-251,100,-0.99,34.34,0.56,33.48,-1.55,0.87,603.61,-188.29,41.97,-1.07,-0.48,0.44,"berdiri_bungkuk"
3359609,-9316,-132,13672,573,-212,40,-0.55,34.27,0.56,33.48,-1.12,0.79,603.61,-188.29,41.97,-0.23,-0.18,-0.02,"berdiri_bungkuk"
3359813,-9344,-148,13556,546,-205,121,-0.63,34.58,0.56,33.48,-1.19,1.10,603.61,-188.29,41.97,-0.44,-0.13,0.60,"berdiri_bungkuk"
3360018,-9376,-208,13780,502,-218,144,-0.86,34.23,0.56,33.48,-1.43,0.75,603.61,-188.29,41.97,-0.78,-0.23,0.78,"berdiri_bungkuk"
3360222,-9268,-240,13656,531,-171,77,-1.01,34.16,0.56,33.48,-1.57,0.68,603.61,-188.29,41.97,-0.55,0.13,0.27,"berdiri_bungkuk"
3360425,-9232,-236,13836,503,-208,62,-0.98,33.71,0.56,33.48,-1.54,0.23,603.61,-188.29,41.97,-0.77,-0.15,0.15,"berdiri_bungkuk"
3360626,-9312,-312,13652,570,-94,68,-1.31,34.29,0.56,33.48,-1.87,0.81,603.61,-188.29,41.97,-0.26,0.72,0.20,"berdiri_bungkuk"
3360827,-9328,-48,13696,588,-102,56,-0.20,34.26,0.56,33.48,-0.76,0.78,603.61,-188.29,41.97,-0.12,0.66,0.11,"berdiri_bungkuk"
3361029,-9424,-140,13572,585,-130,69,-0.59,34.77,0.56,33.48,-1.15,1.30,603.61,-188.29,41.97,-0.14,0.44,0.21,"berdiri_bungkuk"
3361233,-9368,-104,13624,575,-89,106,-0.44,34.51,0.56,33.48,-1.00,1.03,603.61,-188.29,41.97,-0.22,0.76,0.49,"berdiri_bungkuk"
3361437,-9324,-172,13680,566,-162,85,-0.72,34.28,0.56,33.48,-1.28,0.80,603.61,-188.29,41.97,-0.29,0.20,0.33,"berdiri_bungkuk"
3361641,-9528,-204,13612,620,-208,58,-0.86,34.99,0.56,33.48,-1.42,1.51,603.61,-188.29,41.97,0.13,-0.15,0.12,"berdiri_bungkuk"
3361846,-9420,-144,13628,516,-236,40,-0.61,34.65,0.56,33.48,-1.17,1.17,603.61,-188.29,41.97,-0.67,-0.36,-0.02,"berdiri_bungkuk"
3362050,-9456,-212,13556,564,-251,26,-0.90,34.89,0.56,33.48,-1.46,1.42,603.61,-188.29,41.97,-0.30,-0.48,-0.12,"berdiri_bungkuk"
3362254,-9292,-216,13620,545,-214,14,-0.91,34.30,0.56,33.48,-1.47,0.82,603.61,-188.29,41.97,-0.45,-0.20,-0.21,"berdiri_bungkuk"
3362455,-9360,-80,13800,476,-265,32,-0.33,34.15,0.56,33.48,-0.89,0.67,603.61,-188.29,41.97,-0.97,-0.59,-0.08,"berdiri_bungkuk"
3362655,-9428,-164,13584,511,-236,54,-0.69,34.76,0.56,33.48,-1.25,1.28,603.61,-188.29,41.97,-0.71,-0.36,0.09,"berdiri_bungkuk"
3362856,-9368,-300,13704,503,-260,80,-1.25,34.35,0.56,33.48,-1.82,0.87,603.61,-188.29,41.97,-0.77,-0.55,0.29,"berdiri_bungkuk"
3363060,-9328,-128,13664,522,-264,72,-0.54,34.32,0.56,33.48,-1.10,0.84,603.61,-188.29,41.97,-0.62,-0.58,0.23,"berdiri_bungkuk"
3363265,-9496,-192,13636,551,-205,-3,-0.81,34.85,0.56,33.48,-1.37,1.37,603.61,-188.29,41.97,-0.40,-0.13,-0.34,"berdiri_bungkuk"
3363469,-9452,-208,13560,556,-121,37,-0.88,34.88,0.56,33.48,-1.44,1.40,603.61,-188.29,41.97,-0.36,0.51,-0.04,"berdiri_bungkuk"
3363673,-9400,-148,13704,543,-158,-14,-0.62,34.45,0.56,33.48,-1.18,0.97,603.61,-188.29,41.97,-0.46,0.23,-0.43,"berdiri_bungkuk"
3363877,-9444,-292,13600,582,-111,-21,-1.23,34.77,0.56,33.48,-1.79,1.29,603.61,-188.29,41.97,-0.16,0.59,-0.48,"berdiri_bungkuk"
3364081,-9428,-284,13520,535,-232,90,-1.20,34.88,0.56,33.48,-1.77,1.41,603.61,-188.29,41.97,-0.52,-0.33,0.37,"berdiri_bungkuk"
3364282,-9364,-184,13720,526,-236,113,-0.77,34.31,0.56,33.48,-1.33,0.83,603.61,-188.29,41.97,-0.59,-0.36,0.54,"berdiri_bungkuk"
3364483,-9420,-96,13592,607,-221,68,-0.40,34.72,0.56,33.48,-0.97,1.24,603.61,-188.29,41.97,0.03,-0.25,0.20,"berdiri_bungkuk"
3364683,-9488,-52,13636,529,-264,75,-0.22,34.83,0.56,33.48,-0.78,1.35,603.61,-188.29,41.97,-0.57,-0.58,0.25,"berdiri_bungkuk"
3364888,-9480,-108,13504,516,-243,46,-0.46,35.07,0.56,33.48,-1.02,1.59,603.61,-188.29,41.97,-0.67,-0.42,0.03,"berdiri_bungkuk"
3365089,-9436,-180,13820,583,-236,77,-0.75,34.32,0.56,33.48,-1.31,0.84,603.61,-188.29,41.97,-0.16,-0.36,0.27,"berdiri_bungkuk"
3365290,-9280,-160,13744,430,-314,38,-0.67,34.03,0.56,33.48,-1.23,0.55,603.61,-188.29,41.97,-1.33,-0.96,-0.03,"berdiri_bungkuk"
3365491,-9444,-312,13788,510,-138,61,-1.30,34.40,0.56,33.48,-1.86,0.92,603.61,-188.29,41.97,-0.71,0.38,0.15,"berdiri_bungkuk"
3365695,-9340,-256,13928,525,-190,52,-1.05,33.84,0.56,33.48,-1.61,0.36,603.61,-188.29,41.97,-0.60,-0.01,0.08,"berdiri_bungkuk"
3365899,-9412,-208,13720,548,-201,104,-0.87,34.45,0.56,33.48,-1.43,0.97,603.61,-188.29,41.97,-0.42,-0.10,0.47,"berdiri_bungkuk"
3366100,-9388,-332,13796,586,-117,115,-1.38,34.23,0.56,33.48,-1.94,0.75,603.61,-188.29,41.97,-0.13,0.54,0.56,"berdiri_bungkuk"
3366301,-9436,-16,13692,572,-63,83,-0.07,34.57,0.56,33.48,-0.63,1.09,603.61,-188.29,41.97,-0.24,0.96,0.31,"berdiri_bungkuk"
3366502,-9404,-200,13736,545,-114,72,-0.83,34.39,0.56,33.48,-1.40,0.92,603.61,-188.29,41.97,-0.45,0.57,0.23,"berdiri_bungkuk"
3366707,-9356,-196,13556,613,-161,107,-0.83,34.61,0.56,33.48,-1.39,1.13,603.61,-188.29,41.97,0.07,0.21,0.50,"berdiri_bungkuk"
3366908,-9380,-356,13588,572,-201,125,-1.50,34.61,0.56,33.48,-2.06,1.13,603.61,-188.29,41.97,-0.24,-0.10,0.63,"berdiri_bungkuk"
3367111,-9164,-172,13628,688,-36,134,-0.72,33.92,0.56,33.48,-1.28,0.44,603.61,-188.29,41.97,0.64,1.16,0.70,"berdiri_bungkuk"
3367316,-9416,-244,13552,398,214,1103,-1.03,34.79,0.56,33.48,-1.59,1.31,603.61,-188.29,41.97,-1.57,3.07,8.10,"berdiri_bungkuk"
3367520,-9968,304,13200,-97,1453,2069,1.32,37.05,0.56,33.48,0.76,3.57,603.61,-188.29,41.97,-5.35,12.53,15.47,"berdiri_bungkuk"
3367724,-9632,-300,12852,1759,644,403,-1.34,36.84,0.56,33.48,-1.90,3.36,603.61,-188.29,41.97,8.82,6.35,2.76,"berdiri_bungkuk"
3367925,-9920,308,12836,331,-157,661,1.37,37.69,0.56,33.48,0.81,4.21,603.61,-188.29,41.97,-2.08,0.24,4.73,"berdiri_bungkuk"
3368125,-10488,1028,12744,1614,-608,-2,4.61,39.36,0.56,33.48,4.05,5.88,603.61,-188.29,41.97,7.71,-3.20,-0.34,"berdiri_bungkuk"
3368326,-10252,1264,12952,1224,-206,-662,5.57,38.23,0.56,33.48,5.01,4.75,603.61,-188.29,41.97,4.74,-0.14,-5.37,"berdiri_bungkuk"
3368530,-10308,1580,12816,328,-270,-253,7.03,38.60,0.56,33.48,6.47,5.12,603.61,-188.29,41.97,-2.10,-0.62,-2.25,"berdiri_bungkuk"
3368731,-10072,1160,12916,975,-241,-9,5.13,37.84,0.56,33.48,4.57,4.36,603.61,-188.29,41.97,2.84,-0.40,-0.39,"berdiri_bungkuk"
3368932,-9988,504,13032,546,-165,-1300,2.21,37.45,0.56,33.48,1.65,3.97,603.61,-188.29,41.97,-0.44,0.18,-10.24,"berdiri_bungkuk"
3369134,-10144,20,13016,-132,-1415,-460,0.09,37.93,0.56,33.48,-0.47,4.45,603.61,-188.29,41.97,-5.62,-9.36,-3.83,"berdiri_bungkuk"
3369338,-8936,-148,13828,1776,-1644,-96,-0.61,32.87,0.56,33.48,-1.18,-0.61,603.61,-188.29,41.97,8.95,-11.11,-1.05,"berdiri_bungkuk"
3369542,-8872,700,13960,829,-713,-1789,2.87,32.40,0.56,33.48,2.31,-1.07,603.61,-188.29,41.97,1.72,-4.01,-13.98,"berdiri_bungkuk"
3369745,-9212,592,13712,1094,-27,-1572,2.47,33.87,0.56,33.48,1.91,0.39,603.61,-188.29,41.97,3.74,1.23,-12.32,"berdiri_bungkuk"
3369946,-9256,-308,13848,553,-343,-101,-1.27,33.75,0.56,33.48,-1.84,0.27,603.61,-188.29,41.97,-0.39,-1.18,-1.09,"berdiri_bungkuk"
3370147,-9060,48,13856,180,-254,216,0.20,33.18,0.56,33.48,-0.36,-0.30,603.61,-188.29,41.97,-3.23,-0.50,1.33,"berdiri_bungkuk"
3370348,-9100,-420,13752,236,-120,213,-1.75,33.48,0.56,33.48,-2.31,0.00,603.61,-188.29,41.97,-2.81,0.52,1.31,"berdiri_bungkuk"
3370553,-8932,-532,13856,72,-222,-46,-2.20,32.79,0.56,33.48,-2.76,-0.69,603.61,-188.29,41.97,-4.06,-0.26,-0.67,"berdiri_bungkuk"
3370754,-9152,-216,13972,1664,-67,-610,-0.89,33.22,0.56,33.48,-1.45,-0.26,603.61,-188.29,41.97,8.09,0.93,-4.98,"berdiri_bungkuk"
3370955,-9416,-288,13772,1455,-62,-1166,-1.20,34.35,0.56,33.48,-1.76,0.88,603.61,-188.29,41.97,6.50,0.96,-9.22,"berdiri_bungkuk"
3371158,-9188,60,13648,860,-366,-403,0.25,33.95,0.56,33.48,-0.31,0.47,603.61,-188.29,41.97,1.96,-1.36,-3.40,"berdiri_bungkuk"
3371362,-9324,-272,13672,592,-633,633,-1.14,34.29,0.56,33.48,-1.70,0.81,603.61,-188.29,41.97,-0.09,-3.39,4.51,"berdiri_bungkuk"
3371565,-8904,-720,13920,-106,-916,-256,-2.96,32.57,0.56,33.48,-3.52,-0.91,603.61,-188.29,41.97,-5.42,-5.56,-2.27,"berdiri_bungkuk"
3371766,-8744,-200,14136,465,-873,-34,-0.81,31.74,0.56,33.48,-1.37,-1.74,603.61,-188.29,41.97,-1.06,-5.23,-0.58,"berdiri_bungkuk"
3371967,-8416,-160,14312,385,-782,17,-0.64,30.46,0.56,33.48,-1.20,-3.02,603.61,-188.29,41.97,-1.67,-4.53,-0.19,"berdiri_bungkuk"
3372168,-8192,-304,14560,406,-685,73,-1.20,29.36,0.56,33.48,-1.76,-4.12,603.61,-188.29,41.97,-1.51,-3.79,0.24,"berdiri_bungkuk"
3372373,-8060,-504,14656,418,-623,168,-1.97,28.79,0.56,33.48,-2.53,-4.68,603.61,-188.29,41.97,-1.42,-3.32,0.96,"berdiri_bungkuk"
3372574,-7776,-692,14712,452,-406,244,-2.69,27.83,0.56,33.48,-3.25,-5.65,603.61,-188.29,41.97,-1.16,-1.66,1.54,"berdiri_bungkuk"
3372778,-8008,-404,14832,378,-357,272,-1.56,28.36,0.56,33.48,-2.12,-5.12,603.61,-188.29,41.97,-1.72,-1.29,1.76,"berdiri_bungkuk"
3372982,-7916,-680,14768,322,-196,212,-2.64,28.17,0.56,33.48,-3.20,-5.31,603.61,-188.29,41.97,-2.15,-0.06,1.30,"berdiri_bungkuk"
3373186,-7764,-520,14708,324,-244,162,-2.02,27.81,0.56,33.48,-2.59,-5.66,603.61,-188.29,41.97,-2.13,-0.43,0.92,"berdiri_bungkuk"
3373389,-7728,-476,14880,432,-235,94,-1.83,27.43,0.56,33.48,-2.39,-6.05,603.61,-188.29,41.97,-1.31,-0.36,0.40,"berdiri_bungkuk"
3373590,-7928,-464,14808,436,-136,103,-1.79,28.15,0.56,33.48,-2.36,-5.33,603.61,-188.29,41.97,-1.28,0.40,0.47,"berdiri_bungkuk"
3373791,-7828,-648,14644,555,-118,147,-2.53,28.10,0.56,33.48,-3.10,-5.37,603.61,-188.29,41.97,-0.37,0.54,0.80,"berdiri_bungkuk"
3373992,-7880,-752,14676,555,-151,173,-2.93,28.20,0.56,33.48,-3.50,-5.28,603.61,-188.29,41.97,-0.37,0.28,1.00,"berdiri_bungkuk"
3374196,-8092,-428,14648,500,-216,186,-1.67,28.91,0.56,33.48,-2.24,-4.57,603.61,-188.29,41.97,-0.79,-0.21,1.10,"berdiri_bungkuk"
3374397,-7876,-536,14840,476,-351,246,-2.07,27.94,0.56,33.48,-2.63,-5.54,603.61,-188.29,41.97,-0.97,-1.24,1.56,"berdiri_bungkuk"
3374599,-7784,-580,14700,583,-229,221,-2.26,27.88,0.56,33.48,-2.82,-5.59,603.61,-188.29,41.97,-0.16,-0.31,1.37,"berdiri_bungkuk"
3374803,-7808,-504,14804,508,-362,-14,-1.95,27.79,0.56,33.48,-2.51,-5.68,603.61,-188.29,41.97,-0.73,-1.33,-0.43,"berdiri_bungkuk"
3375007,-7788,-568,14748,537,-364,22,-2.21,27.82,0.56,33.48,-2.77,-5.66,603.61,-188.29,41.97,-0.51,-1.34,-0.15,"berdiri_bungkuk"
3375210,-7752,-400,14944,525,-341,75,-1.53,27.41,0.56,33.48,-2.10,-6.07,603.61,-188.29,41.97,-0.60,-1.17,0.25,"berdiri_bungkuk"
3375411,-7648,-560,14996,465,-361,65,-2.14,27.01,0.56,33.48,-2.70,-6.47,603.61,-188.29,41.97,-1.06,-1.32,0.18,"berdiri_bungkuk"
3375612,-7564,-592,14856,387,-350,43,-2.28,26.96,0.56,33.48,-2.84,-6.51,603.61,-188.29,41.97,-1.65,-1.23,0.01,"berdiri_bungkuk"
3375813,-7392,-508,14940,482,-189,-2,-1.95,26.31,0.56,33.48,-2.51,-7.17,603.61,-188.29,41.97,-0.93,-0.01,-0.34,"berdiri_bungkuk"
3376017,-7384,-652,15100,482,-291,-41,-2.47,26.04,0.56,33.48,-3.03,-7.44,603.61,-188.29,41.97,-0.93,-0.78,-0.63,"berdiri_bungkuk"
3376218,-7416,-592,15012,617,-202,7,-2.26,26.27,0.56,33.48,-2.82,-7.21,603.61,-188.29,41.97,0.10,-0.10,-0.27,"berdiri_bungkuk"
3376420,-7464,-644,15068,558,-172,71,-2.45,26.33,0.56,33.48,-3.01,-7.15,603.61,-188.29,41.97,-0.35,0.12,0.22,"berdiri_bungkuk"
3376624,-7528,-808,15104,516,-205,111,-3.06,26.46,0.56,33.48,-3.62,-7.02,603.61,-188.29,41.97,-0.67,-0.13,0.53,"berdiri_bungkuk"
3376829,-7568,-596,15228,663,-62,88,-2.24,26.41,0.56,33.48,-2.80,-7.07,603.61,-188.29,41.97,0.45,0.96,0.35,"berdiri_bungkuk"
3377032,-7548,-684,14904,680,10,38,-2.63,26.84,0.56,33.48,-3.19,-6.64,603.61,-188.29,41.97,0.58,1.51,-0.03,"berdiri_bungkuk"
3377233,-7600,-640,14676,622,-141,11,-2.50,27.36,0.56,33.48,-3.06,-6.12,603.61,-188.29,41.97,0.14,0.36,-0.24,"berdiri_bungkuk"
3377434,-7564,-484,14828,559,-175,33,-1.87,27.01,0.56,33.48,-2.43,-6.46,603.61,-188.29,41.97,-0.34,0.10,-0.07,"berdiri_bungkuk"
3377634,-7616,-564,14864,418,-160,115,-2.17,27.11,0.56,33.48,-2.73,-6.37,603.61,-188.29,41.97,-1.42,0.22,0.56,"berdiri_bungkuk"
3377838,-7536,-692,15084,1340,319,322,-2.63,26.52,0.56,33.48,-3.19,-6.96,603.61,-188.29,41.97,5.62,3.87,2.14,"berdiri_bungkuk"
3378039,-8024,372,14452,215,814,462,1.47,29.03,0.56,33.48,0.91,-4.45,603.61,-188.29,41.97,-2.97,7.65,3.21,"berdiri_bungkuk"
3378243,-8480,-128,14084,-23,972,490,-0.52,31.05,0.56,33.48,-1.08,-2.43,603.61,-188.29,41.97,-4.78,8.86,3.42,"berdiri_bungkuk"
3378447,-8920,148,14140,642,852,423,0.60,32.24,0.56,33.48,0.04,-1.23,603.61,-188.29,41.97,0.29,7.94,2.91,"berdiri_bungkuk"
3378651,-9324,-52,13924,383,1991,318,-0.21,33.81,0.56,33.48,-0.78,0.33,603.61,-188.29,41.97,-1.68,16.64,2.11,"berdiri_bungkuk"
3378856,-10424,-200,12880,816,3694,504,-0.89,38.98,0.56,33.48,-1.45,5.50,603.61,-188.29,41.97,1.62,29.64,3.53,"berdiri_bungkuk"
3379058,-12076,112,11424,336,3413,303,0.56,46.59,0.56,33.48,-0.00,13.11,603.61,-188.29,41.97,-2.04,27.49,1.99,"berdiri_bungkuk"
3379259,-12648,564,9840,742,3657,353,3.28,52.07,0.56,33.48,2.72,18.59,603.61,-188.29,41.97,1.06,29.35,2.37,"berdiri_bungkuk"
3379463,-14424,1036,7460,1244,4694,749,7.91,62.43,0.56,33.48,7.34,28.95,603.61,-188.29,41.97,4.89,37.27,5.40,"berdiri_bungkuk"
3379667,-14456,856,5916,195,4646,1105,8.23,67.53,0.56,33.48,7.67,34.06,603.61,-188.29,41.97,-3.12,36.90,8.11,"berdiri_bungkuk"
3379871,-15180,1052,4392,1116,4816,1064,13.47,73.43,0.56,33.48,12.91,39.95,603.61,-188.29,41.97,3.91,38.20,7.80,"berdiri_bungkuk"
3380075,-16388,3240,3528,1842,345,442,42.56,73.71,0.56,33.48,42.00,40.23,603.61,-188.29,41.97,9.45,4.07,3.05,"berdiri_bungkuk"
3380279,-17776,1504,3380,-1659,-606,-1342,23.99,78.24,0.56,33.48,23.43,44.76,603.61,-188.29,41.97,-17.27,-3.19,-10.56,"berdiri_bungkuk"
3380483,-15220,-112,3076,-96,-1630,-118,-2.09,78.57,0.56,33.48,-2.65,45.09,603.61,-188.29,41.97,-5.34,-11.01,-1.22,"berdiri_bungkuk"
3380687,-15224,256,3764,2200,-477,-91,3.89,76.08,0.56,33.48,3.33,42.60,603.61,-188.29,41.97,12.19,-2.20,-1.01,"berdiri_bungkuk"
3380890,-15300,1688,3516,1830,358,-412,25.65,75.70,0.56,33.48,25.08,42.22,603.61,-188.29,41.97,9.36,4.17,-3.47,"berdiri_bungkuk"
3381091,-15680,1340,2880,1272,777,17,24.95,78.55,0.56,33.48,24.39,45.07,603.61,-188.29,41.97,5.10,7.37,-0.19,"berdiri_bungkuk"
3381292,-15556,1440,2440,544,454,-218,30.55,79.68,0.56,33.48,29.99,46.20,603.61,-188.29,41.97,-0.46,4.90,-1.98,"berdiri_bungkuk"
3381493,-15296,1128,2244,432,337,-264,26.69,80.68,0.56,33.48,26.13,47.20,603.61,-188.29,41.97,-1.31,4.01,-2.34,"berdiri_bungkuk"
3381697,-15356,1184,2216,1003,33,346,28.12,80.71,0.56,33.48,27.55,47.23,603.61,-188.29,41.97,3.05,1.69,2.32,"berdiri_bungkuk"
3381898,-15436,1280,2080,705,-330,52,31.61,81.01,0.56,33.48,31.05,47.53,603.61,-188.29,41.97,0.77,-1.08,0.08,"berdiri_bungkuk"
3382102,-15228,1520,2208,613,-282,9,34.54,80.02,0.56,33.48,33.98,46.54,603.61,-188.29,41.97,0.07,-0.72,-0.25,"berdiri_bungkuk"
3382306,-15372,1544,2336,447,-299,123,33.46,79.68,0.56,33.48,32.90,46.20,603.61,-188.29,41.97,-1.20,-0.85,0.62,"berdiri_bungkuk"
3382510,-15304,1356,2224,448,22,49,31.37,80.34,0.56,33.48,30.81,46.86,603.61,-188.29,41.97,-1.19,1.61,0.05,"berdiri_bungkuk"
3382714,-15500,1284,2100,467,-318,32,31.44,80.98,0.56,33.48,30.88,47.50,603.61,-188.29,41.97,-1.04,-0.99,-0.08,"berdiri_bungkuk"
